,count,mean,std,min,25%,50%,75%,max,skew
temperature_2m,306888.0,27.34893544224603,2.158490642012477,19.2,25.8,27.0,28.6,37.3,0.8669438487756729
apparent_temperature,306888.0,31.440156017830613,2.6277572077888225,16.4,29.7,31.2,32.9,43.9,0.4853101286991861
precipitation,306888.0,0.23657783947238079,0.7252558131770355,0.0,0.0,0.0,0.2,26.4,8.029364244554575
wind_speed_10m,306888.0,3.5894001720497384,2.205136514228559,0.0,1.8,3.21,4.95,15.02,0.7836763000035936
relative_humidity_2m,306888.0,80.12431571126926,11.136705632996309,27.0,74.0,82.0,89.0,99.0,-1.0555602807166424
pressure_msl,306888.0,1009.6227304423763,2.4389629840431684,999.4,1008.0,1009.7,1011.3,1019.1,-0.10941833230595796
cloud_cover,306888.0,72.17353236359844,31.586808291718484,0.0,46.0,88.0,99.0,100.0,-0.8383311098646485
