,0
hour_sin,0.3275944942158289
hour_cos,0.25123574529051773
month_cos,0.21598865697703895
month_sin,0.06324857016260466
latitude,0.05761741157821809
longitude,0.039475885744002306
year,0.025566025894790692
elevation_m,0.019273210136998675
