year,location_name,temperature_2m
2020,Batticaloa,27.88637295081967
2020,Colombo,27.266097449908926
2020,Galle,27.097506830601095
2020,Jaffna,27.951855646630236
2020,Matara,27.17285974499089
2020,Trincomalee,27.898007741347907
2021,Batticaloa,27.62915525114155
2021,Colombo,26.617328767123286
2021,Galle,26.619429223744294
2021,Jaffna,27.64914383561644
2021,Matara,26.667442922374427
2021,Trincomalee,27.556929223744294
2022,Batticaloa,27.41093607305936
2022,Colombo,26.68392694063927
2022,Galle,26.50429223744292
2022,Jaffna,27.541312785388126
2022,Matara,26.569680365296804
2022,Trincomalee,27.38304794520548
2023,Batticaloa,27.744029680365298
2023,Colombo,26.701084474885846
2023,Galle,26.65313926940639
2023,Jaffna,27.793687214611875
2023,Matara,26.679817351598174
2023,Trincomalee,27.762054794520548
2024,Batticaloa,28.234710837887068
2024,Colombo,27.343806921675775
2024,Galle,27.256944444444443
2024,Jaffna,28.23270719489982
2024,Matara,27.283276411657557
2024,Trincomalee,28.14587887067395
2025,Batticaloa,28.039063926940642
2025,Colombo,26.75447488584475
2025,Galle,26.765593607305938
2025,Jaffna,27.89455479452055
2025,Trincomalee,27.812773972602738
