stage,MAE,RMSE,R2,best_params
baseline_untuned_rf,0.8597451129959733,1.1219115071191526,0.7658018978959009,
tuned_rf,0.8401806085173978,1.0946311261400954,0.777052938355238,"{'n_estimators': 100, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'max_depth': 10}"
