location_id,year,mean_temp,mean_precip,mean_wind,n_obs
lk_batticaloa,2020,27.88637295081967,0.14011839708561055,2.524189435336958,8784
lk_batticaloa,2021,27.629155251141597,0.1707648401826484,2.404095890410955,8760
lk_batticaloa,2022,27.410936073059396,0.20029680365296643,2.4553367579908603,8760
lk_batticaloa,2023,27.74402968036535,0.24619863013698362,2.2520662100456446,8760
lk_batticaloa,2024,28.234710837886965,0.20442850637522716,2.4492213114754056,8784
lk_batticaloa,2025,28.0390639269406,0.19165525114155235,2.686692922374415,8760
lk_colombo,2020,27.266097449908926,0.24225865209471695,2.3310701275045367,8784
lk_colombo,2021,26.617328767123276,0.3238698630136951,2.3698105022830984,8760
lk_colombo,2022,26.68392694063925,0.2733219178082103,2.517490867579908,8760
lk_colombo,2023,26.701084474885878,0.3639840182648332,2.327149543378983,8760
lk_colombo,2024,27.343806921675743,0.34906648451729266,2.371558515482685,8784
lk_colombo,2025,26.754474885844708,0.3144063926940579,2.4715034246575303,8760
lk_galle,2020,27.097506830601052,0.24952185792349543,2.6836020036429717,8784
lk_galle,2021,26.61942922374435,0.31728310502282475,2.8200787671232925,8760
lk_galle,2022,26.50429223744295,0.28706621004565,3.0087031963470197,8760
lk_galle,2023,26.65313926940638,0.41666666666665714,2.4040182648401585,8760
lk_galle,2024,27.25694444444445,0.31367258652093527,2.653406193078314,8784
lk_galle,2025,26.765593607306062,0.31210045662099345,2.8979166666666556,8760
lk_jaffna,2020,27.951855646630253,0.14787112932604765,5.901799863387994,8784
lk_jaffna,2021,27.64914383561656,0.20043378995433747,5.818186073059335,8760
lk_jaffna,2022,27.541312785388083,0.1599771689497713,5.720038812785389,8760
lk_jaffna,2023,27.79368721461185,0.16969178082191766,6.011235159817371,8760
lk_jaffna,2024,28.232707194899852,0.17724271402550137,5.944488843351527,8784
lk_jaffna,2025,27.894554794520534,0.1731392694063927,5.9910958904109375,8760
lk_matara,2020,27.172859744990927,0.18854735883424448,3.7153756830601,8784
lk_matara,2021,26.667442922374505,0.2361301369863008,3.640831050228301,8760
lk_matara,2022,26.569680365296804,0.23138127853880833,3.7733196347031797,8760
lk_matara,2023,26.679817351598157,0.34479452054793835,3.2090970319634544,8760
lk_matara,2024,27.283276411657567,0.269979508196712,3.5266142987249394,8784
lk_trincomalee,2020,27.898007741347815,0.14557149362477279,4.588575819672138,8784
lk_trincomalee,2021,27.556929223744355,0.16452054794520565,4.386767123287681,8760
lk_trincomalee,2022,27.383047945205394,0.153196347031963,4.429111872146118,8760
lk_trincomalee,2023,27.762054794520438,0.20479452054794509,4.276779680365308,8760
lk_trincomalee,2024,28.145878870673894,0.1838456284153005,4.476711065573774,8784
lk_trincomalee,2025,27.812773972602628,0.2130479452054796,4.590810502283112,8760
