Model,MAE,RMSE,R2
Baseline (mean),1.7982151005014693,2.321479256120767,-0.0027571815778693054
Linear Regression,1.116072169049186,1.4646596632191742,0.6008468059853896
Random Forest,0.8597451129959733,1.1219115071191526,0.7658018978959009
Gradient Boosting,0.8883518928517211,1.1551668542483586,0.7517120719525526
XGBoost,0.8544019713641302,1.1160363170741086,0.7682483574644784
Random Forest (tuned),0.8401806085173978,1.0946311261400954,0.777052938355238
