location_id,name,elevation_m,mean_temp,mean_rain_per_year,mean_wind,mean_humidity,mean_pressure
lk_galle,Galle,3.0,26.816480383211676,2770.8666666666663,2.7445513990267636,83.91465176399026,1010.1889750608273
lk_matara,Matara,6.0,26.87500228060573,1857.25,3.573100027367269,83.84672048896186,1010.0073253056013
lk_jaffna,Jaffna,9.0,27.844103558394163,1502.7,5.897830558090025,78.0997947080292,1009.1538093065693
lk_colombo,Colombo,9.0,26.89482778284672,2728.0499999999997,2.3980544784063262,82.68715784671532,1009.921175486618
lk_trincomalee,Trincomalee,9.0,27.76002128953771,1556.1833333333334,4.458194000912409,75.78048965936739,1009.2375779349148
lk_batticaloa,Batticaloa,10.0,27.824260568734793,1685.4333333333332,2.4619563564476885,77.03691453771289,1009.291560218978
