Model,R_squared,Adj_R_squared,Elevation_coef,Elevation_p_value_clustered
1: Elevation only,0.024881283885639705,0.02487810642327215,0.13928400189026677,0.00029764299119857545
2: + Lat/Lon,0.047756532743845836,0.047747223915748815,-0.004823659006720826,0.572194994633622
3: + Month + Year,0.20260426967159562,0.2025652927171816,-0.004645883517272846,0.600452745666654
