month,location_name,temperature_2m
1,Batticaloa,25.445878136200715
1,Colombo,26.378606630824375
1,Galle,26.197871863799286
1,Jaffna,25.982325268817206
1,Matara,26.43166666666667
1,Trincomalee,25.75712365591398
2,Batticaloa,26.03529411764706
2,Colombo,27.69401960784314
2,Galle,26.974215686274512
2,Jaffna,26.438897058823528
2,Matara,27.2643779342723
2,Trincomalee,26.28085784313725
3,Batticaloa,27.07719534050179
3,Colombo,27.954905913978493
3,Galle,27.325672043010755
3,Jaffna,27.930286738351256
3,Matara,27.483629032258065
3,Trincomalee,27.45293458781362
4,Batticaloa,28.31398148148148
4,Colombo,27.73886574074074
4,Galle,27.546574074074073
4,Jaffna,29.237569444444446
4,Matara,27.66922222222222
4,Trincomalee,28.54828703703704
5,Batticaloa,29.118839605734767
5,Colombo,27.439314516129034
5,Galle,27.44726702508961
5,Jaffna,29.4586917562724
5,Matara,27.384784946236557
5,Trincomalee,29.0190188172043
6,Batticaloa,29.920879629629628
6,Colombo,27.04715277777778
6,Galle,27.07358796296296
6,Jaffna,29.13715277777778
6,Matara,27.024638888888887
6,Trincomalee,29.45099537037037
7,Batticaloa,29.888351254480288
7,Colombo,26.867047491039425
7,Galle,26.893413978494625
7,Jaffna,28.8285394265233
7,Matara,26.89680107526882
7,Trincomalee,29.216935483870966
8,Batticaloa,29.375761648745517
8,Colombo,26.66236559139785
8,Galle,26.67688172043011
8,Jaffna,28.48277329749104
8,Matara,26.73712365591398
8,Trincomalee,28.879457885304657
9,Batticaloa,29.04287037037037
9,Colombo,26.530578703703704
9,Galle,26.576087962962962
9,Jaffna,28.359814814814815
9,Matara,26.487944444444445
9,Trincomalee,28.716898148148147
10,Batticaloa,27.701881720430105
10,Colombo,26.324775985663084
10,Galle,26.48046594982079
10,Jaffna,27.664516129032258
10,Matara,26.44513440860215
10,Trincomalee,27.569332437275985
11,Batticaloa,26.197986111111113
11,Colombo,26.049166666666665
11,Galle,26.32252314814815
11,Jaffna,26.50115740740741
11,Matara,26.330083333333334
11,Trincomalee,26.24837962962963
12,Batticaloa,25.688597670250896
12,Colombo,26.112992831541217
12,Galle,26.304928315412187
12,Jaffna,26.046617383512547
12,Matara,26.37766129032258
12,Trincomalee,25.914874551971327
